subID,itemID,trialID,blockID,acc,baseline,"pre(0 = no pre, -1=pre wrong, 1=pre right)"
6,33,1,5,0,0.352941176,0
6,34,2,5,0,0,-1
6,35,3,5,0,0.117647059,-1
6,36,4,5,0,0,-1
6,37,5,5,0,0.176470588,-1
6,41,1,6,0,0.294117647,0
6,42,2,6,0,0.058823529,-1
6,43,3,6,1,0.235294118,-1
6,44,4,6,1,0.411764706,1
6,45,5,6,1,0.235294118,1
6,49,1,7,1,0.294117647,0
6,50,2,7,0,0,1
6,51,3,7,0,0.117647059,-1
6,52,4,7,1,0.588235294,-1
6,53,5,7,1,0.176470588,1
6,57,1,8,0,0.117647059,0
6,58,2,8,1,0.058823529,-1
6,59,3,8,1,0,1
6,60,4,8,1,0.117647059,1
6,61,5,8,1,0.411764706,1
6,65,1,9,0,0,0
6,66,2,9,1,0.529411765,-1
6,67,3,9,1,0.176470588,1
6,68,4,9,0,0,1
6,69,5,9,1,0.058823529,-1
6,73,1,10,0,0,0
6,74,2,10,0,0.176470588,-1
6,75,3,10,0,0,-1
6,76,4,10,0,0,-1
6,77,5,10,1,0.176470588,-1
6,81,1,11,0,0,0
6,82,2,11,0,0.352941176,-1
6,83,3,11,0,0,-1
6,84,4,11,0,0.588235294,-1
6,85,5,11,0,0.411764706,-1
6,89,1,12,0,0.117647059,0
6,90,2,12,0,0,-1
6,91,3,12,0,0.294117647,-1
6,92,4,12,0,0.058823529,-1
6,93,5,12,0,0,-1
7,1,1,1,0,0,0
7,2,2,1,0,0,-1
7,3,3,1,0,0.058823529,-1
7,4,4,1,0,0.117647059,-1
7,5,5,1,0,0.294117647,-1
7,9,1,2,0,0.058823529,0
7,10,2,2,0,0,-1
7,11,3,2,0,0.058823529,-1
7,12,4,2,0,0,-1
7,13,5,2,1,0,-1
7,17,1,3,0,0,0
7,18,2,3,0,0.058823529,-1
7,19,3,3,0,0.058823529,-1
7,20,4,3,0,0.294117647,-1
7,21,5,3,0,0,-1
7,25,1,4,1,0.117647059,0
7,26,2,4,0,0.117647059,1
7,27,3,4,0,0.058823529,-1
7,28,4,4,0,0.235294118,-1
7,29,5,4,0,0,-1
7,33,1,5,0,0.352941176,0
7,34,2,5,0,0,-1
7,35,3,5,1,0.117647059,-1
7,36,4,5,0,0,1
7,37,5,5,0,0.176470588,-1
7,41,1,6,1,0.294117647,0
7,42,2,6,0,0.058823529,1
7,43,3,6,0,0.235294118,-1
7,44,4,6,1,0.411764706,-1
7,45,5,6,1,0.235294118,1
7,49,1,7,0,0.294117647,0
7,50,2,7,0,0,-1
7,51,3,7,0,0.117647059,-1
7,52,4,7,0,0.588235294,-1
7,53,5,7,0,0.176470588,-1
7,57,1,8,1,0.117647059,0
7,58,2,8,1,0.058823529,1
7,59,3,8,1,0,1
7,60,4,8,1,0.117647059,1
7,61,5,8,1,0.411764706,1
7,65,1,9,0,0,0
7,66,2,9,0,0.529411765,-1
7,67,3,9,0,0.176470588,-1
7,68,4,9,0,0,-1
7,69,5,9,0,0.058823529,-1
7,73,1,10,0,0,0
7,74,2,10,0,0.176470588,-1
7,75,3,10,0,0,-1
7,76,4,10,0,0,-1
7,77,5,10,0,0.176470588,-1
7,81,1,11,0,0,0
7,82,2,11,0,0.352941176,-1
7,83,3,11,0,0,-1
7,84,4,11,0,0.588235294,-1
7,85,5,11,0,0.411764706,-1
7,89,1,12,0,0.117647059,0
7,90,2,12,0,0,-1
7,91,3,12,0,0.294117647,-1
7,92,4,12,0,0.058823529,-1
7,93,5,12,0,0,-1
8,1,1,1,0,0,0
8,2,2,1,0,0,-1
8,3,3,1,0,0.058823529,-1
8,4,4,1,0,0.117647059,-1
8,5,5,1,1,0.294117647,-1
8,9,1,2,1,0.058823529,0
8,10,2,2,1,0,1
8,11,3,2,1,0.058823529,1
8,12,4,2,0,0,1
8,13,5,2,1,0,-1
8,17,1,3,0,0,0
8,18,2,3,0,0.058823529,-1
8,19,3,3,0,0.058823529,-1
8,20,4,3,0,0.294117647,-1
8,21,5,3,0,0,-1
8,25,1,4,1,0.117647059,0
8,26,2,4,1,0.117647059,1
8,27,3,4,1,0.058823529,1
8,28,4,4,1,0.235294118,1
8,29,5,4,1,0,1
8,33,1,5,1,0.352941176,0
8,34,2,5,1,0,1
8,35,3,5,1,0.117647059,1
8,36,4,5,1,0,1
8,37,5,5,1,0.176470588,1
8,41,1,6,1,0.294117647,0
8,42,2,6,1,0.058823529,1
8,43,3,6,1,0.235294118,1
8,44,4,6,1,0.411764706,1
8,45,5,6,1,0.235294118,1
8,49,1,7,0,0.294117647,0
8,50,2,7,0,0,-1
8,51,3,7,0,0.117647059,-1
8,52,4,7,0,0.588235294,-1
8,53,5,7,0,0.176470588,-1
8,57,1,8,1,0.117647059,0
8,58,2,8,1,0.058823529,1
8,59,3,8,1,0,1
8,60,4,8,1,0.117647059,1
8,61,5,8,1,0.411764706,1
8,65,1,9,0,0,0
8,66,2,9,0,0.529411765,-1
8,67,3,9,0,0.176470588,-1
8,68,4,9,0,0,-1
8,69,5,9,1,0.058823529,-1
8,73,1,10,0,0,0
8,74,2,10,0,0.176470588,-1
8,75,3,10,0,0,-1
8,76,4,10,0,0,-1
8,77,5,10,0,0.176470588,-1
8,81,1,11,0,0,0
8,82,2,11,0,0.352941176,-1
8,83,3,11,1,0,-1
8,84,4,11,1,0.588235294,1
8,85,5,11,1,0.411764706,1
8,89,1,12,0,0.117647059,0
8,90,2,12,0,0,-1
8,91,3,12,0,0.294117647,-1
8,92,4,12,0,0.058823529,-1
8,93,5,12,0,0,-1
9,1,1,1,0,0,0
9,2,2,1,0,0,-1
9,3,3,1,0,0.058823529,-1
9,4,4,1,0,0.117647059,-1
9,5,5,1,0,0.294117647,-1
9,9,1,2,0,0.058823529,0
9,10,2,2,0,0,-1
9,11,3,2,0,0.058823529,-1
9,12,4,2,0,0,-1
9,13,5,2,0,0,-1
9,17,1,3,0,0,0
9,18,2,3,0,0.058823529,-1
9,19,3,3,0,0.058823529,-1
9,20,4,3,0,0.294117647,-1
9,21,5,3,0,0,-1
9,25,1,4,0,0.117647059,0
9,26,2,4,1,0.117647059,-1
9,27,3,4,1,0.058823529,1
9,28,4,4,1,0.235294118,1
9,29,5,4,1,0,1
9,33,1,5,0,0.352941176,0
9,34,2,5,0,0,-1
9,35,3,5,0,0.117647059,-1
9,36,4,5,0,0,-1
9,37,5,5,1,0.176470588,-1
9,41,1,6,0,0.294117647,0
9,42,2,6,1,0.058823529,-1
9,43,3,6,1,0.235294118,1
9,44,4,6,1,0.411764706,1
9,45,5,6,1,0.235294118,1
9,49,1,7,1,0.294117647,0
9,50,2,7,0,0,1
9,51,3,7,0,0.117647059,-1
9,52,4,7,1,0.588235294,-1
